Day,Open_Price,Highest_Price,Lowset_Price,Close_Price,Change_Price,Change_Percent_Price,Volumn
04/11/2024,"55,900","56,100","55,500","55,500",+200,0.36%,"456,700"
01/11/2024,"55,600","56,100","55,300","55,300",+100,0.18%,"436,900"
31/10/2024,"55,300","56,200","55,200","55,200",0,0,"486,300"
30/10/2024,"55,500","55,700","55,100","55,200",-200,-0.36%,"357,300"
29/10/2024,"55,500","55,700","55,200","55,400",-100,-0.18%,"258,400"
28/10/2024,"55,600","55,600","55,300","55,500",0,0,"238,900"
25/10/2024,"55,900","56,000","55,200","55,500",-400,-0.72%,"449,500"
24/10/2024,"56,000","56,000","55,700","55,900",-100,-0.18%,"228,400"
23/10/2024,"56,000","56,500","55,600","56,000",0,0,"369,000"
22/10/2024,"56,400","56,500","55,900","56,000",-600,-1.06%,"646,300"
21/10/2024,"57,400","57,600","56,500","56,600",-800,-1.39%,"645,600"
18/10/2024,"57,500","58,100","57,300","57,400",+100,0.17%,"245,300"
17/10/2024,"58,000","58,000","56,900","57,300",-500,-0.87%,"294,700"
16/10/2024,"57,100","57,800","57,100","57,800",+700,1.23%,"531,800"
15/10/2024,"57,200","58,200","57,100","57,100",-100,-0.17%,"642,600"
14/10/2024,"57,600","57,700","57,100","57,200",-300,-0.52%,"335,400"
11/10/2024,"57,900","58,200","57,400","57,500",-200,-0.35%,"379,300"
10/10/2024,"56,600","57,900","56,500","57,700","+1,300",2.30%,"685,400"
09/10/2024,"56,400","56,600","55,900","56,400",+100,0.18%,"613,900"
08/10/2024,"56,700","56,900","56,100","56,300",-400,-0.71%,"514,800"
07/10/2024,"56,600","57,100","56,500","56,700",+100,0.18%,"414,800"
04/10/2024,"56,800","57,000","56,600","56,600",-200,-0.35%,"381,200"
03/10/2024,"57,200","57,700","56,800","56,800",-100,-0.18%,"606,400"
02/10/2024,"57,800","57,800","56,800","56,900",-900,-1.56%,"635,600"
01/10/2024,"58,000","58,000","57,600","57,800",0,0,"559,300"
30/09/2024,"58,800","58,800","57,700","57,800",-700,-1.20%,"551,500"
27/09/2024,"58,300","58,800","57,900","58,500",+400,0.69%,"794,200"
26/09/2024,"57,500","58,500","57,500","58,100",+700,1.22%,"1,091,100"
25/09/2024,"57,500","57,700","57,300","57,400",-100,-0.17%,"337,400"
24/09/2024,"57,700","57,800","57,200","57,500",+100,0.17%,"598,600"
23/09/2024,"57,500","57,800","57,100","57,400",0,0,"646,600"
20/09/2024,"56,800","57,400","56,500","57,400",+900,1.59%,"946,400"
19/09/2024,"56,300","56,700","56,200","56,500",+400,0.71%,"358,900"
18/09/2024,"56,500","56,500","56,100","56,100",-400,-0.71%,"466,900"
17/09/2024,"55,700","56,500","55,700","56,500",+700,1.25%,"361,500"
16/09/2024,"55,700","56,400","55,700","55,800",-300,-0.53%,"567,100"
13/09/2024,"55,500","56,300","55,500","56,100",+700,1.26%,"538,100"
12/09/2024,"56,400","56,500","55,300","55,400",0,0,"625,800"
11/09/2024,"55,700","55,700","55,000","55,400",+100,0.18%,"649,500"
10/09/2024,"56,600","56,900","55,300","55,300",-900,-1.60%,"1,289,900"
09/09/2024,"56,700","56,900","55,600","56,200",-500,-0.88%,"1,129,500"
06/09/2024,"57,000","57,300","56,700","56,700",-300,-0.53%,"454,100"
05/09/2024,"57,300","58,200","56,700","57,000",-200,-0.35%,"824,100"
04/09/2024,"57,200","57,700","57,000","57,200",-300,-0.52%,"698,100"
30/08/2024,"57,700","58,500","57,400","57,500",+100,0.17%,"1,404,900"
29/08/2024,"57,400","58,200","57,400","57,400",0,0,"824,600"
28/08/2024,"57,100","58,100","57,000","57,400",+400,0.70%,"997,600"
27/08/2024,"56,700","57,400","56,700","57,000",+300,0.53%,"692,700"
26/08/2024,"56,900","57,700","56,700","56,700",-200,-0.35%,"578,500"
23/08/2024,"56,600","57,500","56,600","56,900",-100,-0.18%,"651,200"
22/08/2024,"57,600","57,800","56,600","57,000",-400,-0.70%,"785,800"
21/08/2024,"58,000","58,000","57,200","57,400",-600,-1.03%,"777,500"
20/08/2024,"57,800","58,500","57,300","58,000",+200,0.35%,"970,200"
19/08/2024,"56,300","57,800","56,100","57,800","+1,500",2.66%,"1,178,400"
16/08/2024,"55,600","56,500","55,500","56,300",+600,1.08%,"946,500"
15/08/2024,"55,800","56,500","55,700","55,700",0,0,"899,700"
14/08/2024,"54,400","56,700","54,300","55,700","+1,400",2.58%,"1,649,400"
13/08/2024,"54,500","54,800","53,800","54,300",+300,0.56%,"732,900"
12/08/2024,"53,800","54,400","53,400","54,000",+400,0.75%,"542,700"
09/08/2024,"53,400","54,200","53,300","53,600",+800,1.52%,"471,000"
